Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Number of Beds,Inpatient Total Charges,Outpatient Total Charges,Total Salaries (adjusted),Total Income
363033,HEALTHSOUTH REHABILITATION HOSPITAL,1 ELIZABETH PLACE,DAYTON,OH,45417,MONTGOMERY,50,"$16,512,055",,"$4,597,513","$1,475,808"
431325,MOBRIDGE REGIONAL HOSPITAL,140110TH AVE WEST,MOBRIDGE,SD,57601-,WALWORTH,25,"$6,905,355","$25,373,693",,"$2,342,029"
493033,HEALTHSOUTH REHABILITATION HOSPITAL,24430 MILLSTREAM DRIVE,ALDIE,VA,20105,LOUDOUN,60,"$35,140,593",$900,"$12,344,138","$4,273,272"
501318,OTHELLO COMMUNITY HOSPITAL,315 N 14TH AVE,OTHELLO,WA,99344,ADAMS,16,"$9,544,104","$17,991,835",,"-$1,271,121"
501322,FERRY COUNTY MEMORIAL HOSPITAL,36 NORTH KLONDIKE ROAD,REPUBLIC,WA,99166-,FERRY,25,"$2,455,944","$11,932,698",,"-$660,298"
501324,THREE RIVERS HOSPITAL,507 HOSPITAL WAY,BREWSTER,WA,98812-,OKANOGAN,25,"$6,769,678","$14,247,326",,"$453,569"
501328,MID-VALLEY HOSPITAL,810 JASMINE STREET,OMAK,WA,98841-,OKANOGAN,25,"$16,543,474","$37,718,019",,"-$550,064"
221302,FAIRVIEW HOSPITAL,29 LEWIS AVE,GREAT BARRINGTON,MA,1230,BERKSHIRE,25,"$13,610,633","$60,152,848",,"$3,216,237"
231314,MCKENZIE MEMORIAL HOSPITAL,120 DELAWARE STREET,SANDUSKY,MI,48471,SANILAC,25,"$3,463,916","$27,648,400",,"$587,328"
261327,RAY COUNTY MEMORIAL HOSPITAL,904 WOLLARD BOULEVARD,RICHMOND,MO,64085-0389,RAY,25,"$9,489,677","$36,569,961",,"$3,112,239"
450076,UT MD ANDERSON CANCER CENTER,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,674,"$2,239,380,908","$4,977,528,143",,"$673,522,620"
452082,CHRISTUS DUBUIS - PARIS,865 DESHONG DRIVE  5TH FLOOR,PARIS,TX,75462-,LAMAR,25,"$1,765,856",,"$304,012","-$168,699"
454142,SACRED OAK MEDICAL CENTER,11500 SPACE CENTER BLVD,HOUSTON,TX,77059,,20,"$3,683,245",,,"-$1,489,171"
511315,POTOMAC VALLEY HOSPITAL,PIN OAK LANE,KEYSER,WV,26726,MINERAL,25,"$6,580,165","$29,473,892",,"-$752,885"
673043,ENCOMPASS REHABILITATION HOSPITAL OF,7930 NORTHAVEN ROAD,DALLAS,TX,75230,DALLAS,40,"$27,234,261",,"$8,078,613","-$4,188,065"
673052,HEALTHSOUTH REHABILITATION HOSPITAL,20180 CHASEWOOD PARK DRIVE,HOUSTON,TX,77070,HARRIS,40,"$25,819,650","$1,694,333","$7,992,755","-$4,619,664"
161320,COMMUNITY MEM. HOSPT.  SUMMER,909 WEST 1ST STREET,SUMNER,IA,50674-0148,BREMER,16,"$3,249,262","$13,565,581",,"-$257,833"
201305,CALAIS REGIONAL HOSPITAL,24 HOSPITAL LANE,CALAIS,ME,04619-,WASHINGTON,25,"$15,316,208","$43,669,927",,"-$2,181,976"
21306,PROV. KODIAK ISLAND MEDICAL CENTER,1915 E REZANOF DRIVE,KODIAK,AK,99615,,24,"$29,645,396","$44,910,830",,"$3,574,105"
131309,CARIBOU MEMORIAL HOSPITAL,300 SOUTH THIRD WEST,SODA SPRINGS,ID,83276-,CARIBOU,25,"$7,829,037","$16,696,802",,"$108,647"
232021,GLS - MUSKEGON,1700 CLINTON STREET 2 SOUTH,MUSKEGON,MI,49442,MUSKEGON,31,"$29,876,956","$22,406","$4,595,062","$1,541,165"
351316,PRESENTATION MEDICAL CENTER,213 SECOND AVE N.E.,ROLLA,ND,58367-,ROLETTE,25,"$1,336,930","$8,046,535",,"-$21,142"
372011,TULSA-AMG SPECIALITY HOSPITAL,1923 SOUTH UTICA,TULSA,OK,74104,TULSA,40,"$6,286,570",,"$985,721","-$694,353"
381325,GOOD SHEPHERD MEDICAL CENTER,610 NW ELEVENTH STREET,HERMISTON,OR,97838,UMATILLA,25,"$30,578,281","$106,263,053",,"$11,388,157"
454134,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,5680 FRISCO SQUARE BLVD  SUITE 3000,FRISCO,TX,75034-3308,,36,"$12,330,500",,,"-$1,847,340"
491303,DICKENSON COMMUNITY HOSPITAL,312 HOSPITAL DRIVE,CLINTWOOD,VA,24228-0000,DICKENSON,2,"$5,326,606","$17,738,741",,"-$1,633,811"
501309,PROVIDENCE ST JOSEPHS HOSPITAL,500 EAST WEBSTER,CHEWELAH,WA,99109,STEVENS,23,"$13,960,440","$29,422,795",,"-$1,648,767"
33032,HEALTHSOUTH VALLEY OF THE SUN REHABI,13460 NORTH 67TH AVENUE,GLENDALE,AZ,85304,MARICOPA,75,"$32,744,016","$2,318,977","$9,573,854","$2,175,138"
43028,HEALTHSOUTH REHABILITATION HOSPITAL,1401 SOUTH J STREET,FORT SMITH,AR,72901,SEBASTIAN,60,"$35,332,381",$113,"$9,014,898","$3,998,799"
43031,ST. VINCENT REHABILITATION HOSPITAL,2201 WILDWOOD AVE,SHERWOOD,AR,72120,PULASKI,80,"$45,283,677",,"$11,359,990","$5,660,606"
113030,HEALTHSOUTH WALTON REHABILITATION HO,1355 INDEPENDENCE DRIVE,AUGUSTA,GA,30901,RICHMOND,60,"$36,330,592",,"$10,106,342","$3,254,721"
263028,THE REHABILITATION INSTITUTE OF ST L,4455 DUNCAN AVE.,ST. LOUIS,MO,63110,ST. LOUIS,131,"$65,844,195","$8,395,113","$21,921,160","-$614,961"
291304,PERSHING GENERAL HOSPITAL,855 6TH STREET,LOVELOCK,NV,89419,PERSHING,13,"$3,086,102","$8,654,509",,"-$916,551"
394016,WARREN STATE HOSPITAL,33 MAIN DRIVE,WARREN,PA,16365,WARREN,152,"$51,373,350",,,"-$47,772,027"
403026,HEALTHSOUTH REHABILITATION HOSPITAL,CARRETERA #2  KILOMETRO 47.7,MANATI,PR,674,PUERTO RICO,40,"$17,244,565","$230,807","$3,765,656","$245,196"
443027,HEALTHSOUTH REHABILITATION HOSPITAL,113 CASSEL DRIVE,KINGSPORT,TN,37660,SULLIVAN,50,"$29,655,220",$418,"$6,627,686","$1,084,885"
443032,HEALTHSOUTH CHATTANOOGA REHABILITATI,2412 MCCALLIE AVE,CHATTANOOGA,TN,37404,HAMILTON,50,"$29,684,373",,"$7,580,560","$2,508,321"
452073,KINDRED HOSPITAL SAN ANTONIO CENTRAL,111 DALLAS STREET  4TH FLOOR,SAN ANTONIO,TX,78205,BEXAR,44,"$68,818,970","$26,878","$5,885,294","-$365,028"
474004,VERMONT PSYCHIATRIC CARE HOSPITAL,350 FISHER ROAD,BERLIN,VT,05633-7901,,25,"$22,330,623",,,"-$22,961,242"
493032,HEALTHSOUTH REHABILITATION HOSPITAL,300 PARK HILL AVENUE,FREDERICKSBURG,VA,22401,SPOTSYLVANIA,58,"$34,902,411",$400,"$10,815,036","$3,218,592"
31317,LA PAZ REGIONAL HOSPITAL,1200 MOJAVE RD.,PARKER,AZ,85344-,,25,"$17,299,206","$58,963,976",,"$2,136,905"
50557,MEMORIAL HOSPITAL MODESTO,1700 COFFEE ROAD,MODESTO,CA,95355-,STANISLAUS,423,"$451,777,978","$256,058,074","$57,525,707","$12,054,842"
171374,FREDONIA REGIONAL HOSPITAL,1527 MADISON,FREDONIA,KS,66736-,WILSON,25,"$6,146,165","$13,972,138",,"-$1,384,439"
171379,MORRIS COUNTY HOSPITAL,600 NORTH WASHINGTON,COUNCIL GROVE,KS,66846-,MORRIS,25,"$3,351,084","$15,886,121",,"-$588,750"
223032,REHAB HOSPITAL OF CAPE & ISLANDS,311 SERVICE ROAD,EAST SANDWICH,MA,2537,BARNSTABLE,60,"$38,149,043","$39,360,905","$22,517,578","-$1,319,144"
241344,LIFECARE MEDICAL CENTER,715 DELMORE DRIVE,ROSEAU,MN,56751-,ROSEAU,25,"$13,521,551","$47,183,057",,"$3,511,859"
281354,CRETE AREA MEDICAL CENTER,2910 BETTEN DRIVE,CRETE,NE,68333-,SALINE,24,"$2,840,280","$27,112,689",,"$2,053,054"
334012,GREATER BINGHAMTON H.C.,425 ROBINSON ST.,BINGHAMTON,NY,13901-4199,BROOME,111,"$326,034","$5,141,959","$26,184,864","-$31,725,132"
334043,SOUTH BEACH P.C.,777 SEAVIEW AVE.,STATEN ISLAND,NY,10305-3499,RICHMOND,267,"$854,355","$17,648,861","$62,729,171","-$78,097,127"
363042,MOUNT CARMEL REHABILITATION HOSPITAL,597 EXECUTIVE CAMPUS DRIVE,WESTERVILLE,OH,43082,DELAWARE,60,"$24,683,201","$5,310","$7,817,222","$229,687"
392044,SSH - PITTSBURGH / UPMC,200 LOTHROP STREET MUH E824,PITTSBURGH,PA,15213,ALLEGHENY,32,"$59,511,311",,"$5,641,923","$311,291"
393045,HEALTHSOUTH REHABILITATION HOSPITAL,303 CAMP MEETING ROAD,SEWICKLEY,PA,15143,ALLEGHENY,44,"$28,232,824","$1,437,292","$7,238,390","$4,130,960"
443028,VANDERBILT STALLWORTH REHABILITATION,2201 CHILDRENS WAY,NASHVILLE,TN,37212,DAVIDSON,80,"$41,668,472",,"$10,535,776","-$1,384,680"
493031,HEALTHSOUTH REHABILITATION HOSPITAL,95 MEDICAL PARK BLVD,PETERSBURG,VA,23805,PETERSBURG CITY,64,"$24,348,218",,"$7,333,972","-$675,561"
393037,HEALTHSOUTH REHABILITATION HOSPITAL,1850 NORMANDIE DRIVE,YORK,PA,17408,YORK,90,"$39,710,402","$2,907,985","$12,536,059","$4,884,134"
393040,HEALTHSOUTH REHABILITATION HOSPITAL,2005 VALLEY VIEW BLVD,ALTOONA,PA,16602,BLAIR,80,"$48,473,560","$14,952,162","$15,096,704","$4,380,162"
491308,RAPPAHANNOCK GENERAL HOSPITAL,101 HARRIS ROAD,KILMARNOCK,VA,22482-1449,LANCASTER,25,"$6,556,006","$24,296,110",,"$2,509,677"
673029,HEALTHSOUTH REHABILITATION HOSPITAL,3351 WATERVIEW PARKWAY,RICHARDSON,TX,75080,DALLAS,50,"$33,450,320",,"$9,546,107","$2,508,428"
673044,ENCOMPASS HEALTH REHABILITATION HOSP,2304 STATE HIGHWAY 121,BEDFORD,TX,76021,TARRANT,60,"$34,945,716","$1,185","$8,720,142","$914,966"
62011,CRAIG HOSPITAL,3425 S. CLARKSON ST.,ENGLEWOOD,CO,80113,ARAPAHOE,93,"$155,007,096","$16,608,492","$50,169,330","$14,224,901"
64028,DENVER SPRINGS,8835 AMERICAN WAY,ENGLEWOOD,CO,80112,,96,"$6,092,966","$766,832",,"-$3,458,354"
171334,MEDICINE LODGE MEMORIAL HOSPITAL,710 N WALNUT,MEDICINE LODGE,KS,67104,BARBER,22,"$2,715,515","$4,472,028",,"-$680,514"
171367,GOVE COUNTY MEDICAL CENTER,520 WEST 5TH,QUINTER,KS,67752-0129,GOVE,21,"$7,575,211","$8,645,537",,"$894,578"
44021,WOODRIDGE OF WEST MEMPHIS LLC,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,,52,"$5,833,232",,,"$1,022,689"
204004,DOROTHEA DIX PSYCHIATRIC CENTER,STATE STREET,BANGOR,ME,04402-0926,PENOBSCOT,51,"$13,635,081","$3,049",,"-$22,447,353"
320070,ACOMA CANONCITO LAGUNA HOSPITAL,130,SAN FIDEL,NM,87049,CIBOLA,6,$252,"$161,392","$9,274,461","-$27,506,031"
362034,REGENCY HOSPITAL OF CINCINNATI,10500 MONTGOMERY ROAD,CINCINNATI,OH,45242,HAMILTON,41,"$9,357,147",,"$771,684","$133,675"
454084,AUSTIN STATE HOSPITAL,4110 GUADALUPE,AUSTIN,TX,78751-4296,TRAVIS,254,"$76,264,258","$7,129",,"$14,878,424"
110041,HABERSHAM MEDICAL CENTER,HIGHWAY 441 NORTH,DEMOREST,GA,30535,HABERSHAM,53,"$31,667,332","$62,578,466","$22,197,309","-$5,153,970"
324012,THE PEAK HOSPITAL,5060 MCNUTT RD,SANTA TERESA,NM,88008,DONA ANA,88,"$40,090,450","$1,460,691",,"-$5,054,855"
454139,SUN BEHAVIORAL HOUSTON,7601 FANNIN STREET,HOUSTON,TX,77054,,148,"$50,544,325","$3,684,450",,"-$4,210,067"
524041,WILLOW CREEK BEHAVIORAL HEALTH,1351 ONTARIO RD,GREEN BAY,WI,54311,BROWN,72,"$16,570,800","$1,015,400",,"-$2,329,240"
84004,DOVER BEHAVIORAL HEALTH SYSTEM,725 HORSEPOND ROAD,DOVER,DE,19901,KENT,88,"$36,369,900","$5,888,005",,"$7,700,663"
152014,SSH - EVANSVILLE  LLC.,400 SE 4TH STREET,EVANSVILLE,IN,47713,VANDERBURGH,60,"$69,542,290","$60,094","$9,311,241","-$1,757,601"
262013,SSH - ST LOUIS INC.,300 FIRST CAPITOL DRIVE 1ST FLOOR,ST. CHARLES,MO,63301,SAINT CHARLES,33,"$55,476,920","$252,899","$5,711,191","$1,863,110"
313032,MARLTON REHAB HOSPITAL,92 BRICK ROAD,MARLTON,NJ,8053,BURLINGTON,61,"$6,393,823","$467,959","$1,803,326","$165,432"
320061,GALLUP INDIAN MEDICAL CENTER,516 E. NIZHOVI BLVD,GALLUP,NM,87305,MCKINLEY,74,"$192,253","$1,436,304","$75,948,159","-$168,706,731"
332008,HENRY J. CARTER,900 MAIN STREET,ROOSEVELT ISLAND,NY,10044,QUEENS,201,"$145,546,354","$2,841,404","$59,668,080","$17,795,462"
350064,STANDING ROCK IHS HOSPITAL,N10 N RIVER ROAD,FORT YATES,ND,58538,SIOUX,12,"$2,097","$99,248","$9,518,967","-$31,621,254"
351302,MCKENZIE COUNTY HEALTHCARE SYSTEM,516 NORTH MAIN,WATFORD CITY,ND,58854-,MCKENZIE,24,"$4,321,008","$13,670,193",,"-$994,187"
363026,HILLSIDE HOSPITAL,8747 SQUIRES LANE NE,WARREN,OH,44484-,TRUMBULL,65,"$20,176,834","$3,088,492",,"$167,891"
370170,USPHS HOSPITAL-LAWTON,1515 NE LAWRIE TATUM ROAD,LAWTON,OK,73501,COMANCHE,38,"$48,272","$673,322","$29,367,706","-$71,632,032"
451341,HASKELL MEMORIAL HOSPITAL,#1 NORTH AVENUE N,HASKELL,TX,76521-1117,HASKELL,25,"$958,043","$6,118,887",,"$200,341"
454122,OCEANS BEHAVIORAL HOSPITAL OF ABILEN,4425 WOODS PLACE,ABILENE,TX,79602,TAYLOR,90,"$32,513,408","$2,286,523",,"$1,467,825"
503025,ST. LUKES REHABILITATION INST.,S-2  PART,SPOKANE,WA,99210,SPOKANE,102,"$71,008,836","$28,170,599",,"-$2,350,162"
521331,BURNETT MEDICAL CENTER  INC,257 W ST GEORGE AVE,GRANTSBURG,WI,54480,BURNETT,25,"$7,368,672","$24,506,515",,"$503,187"
34031,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ,85027,MARICOPA,102,"$72,850,800","$1,601,530","$11,246,875","$9,136,056"
100156,LAKE CITY MEDICAL CENTER,1050 N. COMMERCE BLVD,LAKE CITY,FL,32055-,COLUMBIA,91,"$287,818,635","$358,865,267","$22,073,113","$18,623,732"
161306,JONES REGIONAL MEDICAL CTR,1795 HIGHWAY 64 EAST,ANAMOSA,IA,52205,JONES,22,"$4,667,792","$47,754,578",,"$1,848,442"
440050,TAKOMA REGIONAL HOSPITAL,401 TAKOMA AVENUE,GREENEVILLE,TN,37743-,GREENE,73,"$50,499,097","$150,494,274","$28,661,408","-$4,005,308"
440180,JELLICO COMMUNITY HOSPITAL,188 HOSPITAL LANE,JELLICO,TN,37762,CAMPBELL,34,"$18,231,056","$42,837,007","$6,677,489","-$3,157,810"
131312,ST. LUKES MCCALL,1000 STATE STREET,MCCALL,ID,83638-,VALLEY,15,"$13,818,742","$38,225,476",,"$3,418,306"
452066,PLUM CREEK SPECIALTY HOSPITAL,5601 PLUM CREEK DR,AMARILLO,TX,79124,,,,,,
21310,MANIILAQ HEALTH CENTER,436 5TH AVENUE,KOTZEBUE,AK,99752,KOBUK,17,"$13,380","$177,093",,"-$59,006,852"
241318,ELY-BLOOMENSON COMMUNITY HOSPITAL,328 WEST CONAN,ELY,MN,55731-1198,ST. LOUIS,16,"$3,331,145","$17,051,616",,"$243,727"
494023,DOMINION HOSPITAL,2960 SLEEPY HOLLOW ROAD,FALLS CHURCH,VA,22044,FAIRFAX,116,"$88,588,702","$26,295,201",,"$2,741,104"
521304,ST. JOSEPHS HEALTH SERVICES,400 WATER AVENUE,HILLSBORO,WI,54634-,VERNON,25,"$4,982,501","$31,225,062",,"$3,872,112"
10173,ST. VINCENTS CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,26,"$11,913,083","$76,074,707","$4,333,137","$3,481,448"
72006,DEPT. OF VETERANS AFFAIRS HOSP SERV,287 WEST STREET,ROCKY HILL,CT,6067,HARTFORD COUNTY,125,"$100,559",,"$18,513,578","-$25,534,257"
82000,SSH - WILMINGTON  INC,7TH AND CLAYTON STREETS 5TH FLOOR,WILMINGTON,DE,19805,NEWCASTLE,35,"$74,276,322","$228,590","$7,825,314","$4,075,199"
152024,RH OF NORTHWEST INDIANA  LLC,4321 FIR STREET  4TH FLOOR,EAST CHICAGO,IN,46312,LAKE,61,"$109,082,056","$308,930","$9,989,752","$2,453,276"
252004,THE SPECIALTY HOSPITAL OF MERIDIAN,1314 19TH STREET,MERIDIAN,MS,39301-,LAUDERDALE,49,"$72,754,008",,,"-$4,255"
261329,COX-MONETT HOSPITAL,801 LINCOLN AVENUE,MONETT,MO,65708-,BARRY,25,"$14,484,298","$90,738,622",,"$2,918,000"
181327,MARSHALL COUNTY HOSPITAL,615 OLD SYMSONIA RD,BENTON,KY,42025,MARSHALL,25,"$7,412,015","$22,887,356",,"$1,079,581"
194095,OCEANS BEHAVIORAL HOSPITAL OF OPELOU,1310 HEATHER DRIVE,OPELOUSAS,LA,70570,ST. LANDRY PARISH,36,"$14,026,649","$1,869,175",,"$1,043,309"
251308,PONTOTOC HEALTH SERVICES,176 SOUTH MAIN,PONTOTOC,MS,38863,PONTOTOC,25,"$14,744,892","$42,167,478",,"$112,209"
361307,UH GENEVA MEDICAL CENTER,870  WEST  MAIN  STREET,GENEVA,OH,44041-,ASHTABULA,25,"$28,876,424","$128,766,376",,"$5,089,705"
361319,SELBY GENERAL HOSPITAL,1106 COLEGATE DRIVE,MARIETTA,OH,45750,WASHINGTON,25,"$58,261,643","$41,706,244",,"$1,771,577"
361334,PIKE COMMUNITY HOSPITAL,100 DAWUN LANE,WAVERLY,OH,45690,PIKE,25,"$7,191,554","$35,471,721",,"$2,487,402"
492010,CENTRA SPECIALTY HOSPITAL,3300 RIVERMONT AVENUE,LYNCHBURG,VA,24503-,LYNCHBURG CITY,36,"$36,754,674","$37,439","$4,173,753","$361,365"
51314,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVENUE,LAKE ISABELLA,CA,93240-,KERN,24,"$38,360,937","$56,743,093",,"$345,257"
261313,SAMARITAN MEMORIAL HOSPITAL,1205 N. MISSOURI STREET,MACON,MO,63552,MACON,25,"$10,179,915","$36,080,658",,"$509,691"
281300,HARLAN COUNTY HEALTH SYSTEM,717 NORTH BROWN,ALMA,NE,68920-,HARLAN,19,"$1,202,055","$6,309,052",,"-$290,393"
491300,BATH COUNTY COMMUNITY HOSPITAL,ROUTE 220,HOT SPRINGS,VA,24445-,BATH,14,"$5,722,911","$12,454,453",,"$786,335"
32005,SSH - ARIZONA  INC.,7400 E. OSBORNE RD 3RD FLOOR,SCOTTSDALE,AZ,85251,MARICOPA,33,"$54,868,830",,"$6,771,320","$2,600,435"
152013,KINDRED HOSPITAL INDIANAPOLIS NORTH,8060 KNUE ROAD,INDIANAPOLIS,IN,46250,MARION,45,"$44,244,771","$269,949","$6,669,212","-$1,465,721"
294010,SPRING MOUNTAIN SAHARA,5640 WEST SAHARA AVENUE,LAS VEGAS,NV,89146,,30,"$53,572,000","$776,830",,"$2,366,491"
372012,SPECIALTY HOSPITAL AT MIDWEST CITY,8210 NATIONAL AVENUE,MIDWEST CITY,OK,73110,OKLAHOMA,31,"$6,916,086",,,"-$13,339"
424010,CAROLINA CENTER,2700 E PHILLIPS RD,GREER,SC,29650,GREENVILLE,130,"$90,011,560","$13,740,940",,"$11,504,331"
451303,LIMESTONE MEDICAL CENTER,900 N. ELLIS,GROESBECK,TX,76642-,LIMESTONE,14,"$4,620,981","$33,010,538",,"$4,187,272"
30074,TON,HWY 86 & TOPAWA RD,SELLS,AZ,85634-0548,PIMA,14,"$10,604","$319,650","$31,460,612","-$70,124,644"
314024,MEADOWVIEW PSYCHIATRIC HOSPITAL,595 COUNTY AVENUE,SECAUCUS,NJ,7094,HUDSON,84,"$26,067,075","$27,264","$11,040,576",
451344,HANSFORD COUNTY HOSPITAL DISTRICT,707 SOUTH ROLAND STREET,SPEARMAN,TX,79081-3341,HANSFORD,14,"$1,971,296","$7,691,956",,"$911,226"
451351,LYNN COUNTY HOSPITAL,2600 LOCKWOOD STREET,TAHOKA,TX,79373-,LYNN,25,"$3,412,273","$8,654,488",,"$968,986"
452107,SOLARA HOSPITAL CONROE,1500 GRAND LAKE DRIVE,CONROE,TX,77304-2891,MONTGOMERY,41,"$111,998,070",,,"$1,004,861"
171339,GREENWOOD COUNTY HOSPITAL,100 WEST 16TH,EUREKA,KS,67045-,GREENWOOD,25,"$4,132,531","$11,356,747",,"-$838,245"
191310,FRANKLIN FOUNDATION HOSPITAL AMENDED,1097 NORTHWEST BLVD,FRANKLIN,LA,70538-,ST. MARY PARISH,25,"$8,360,547","$25,158,307",,"$2,116,430"
281362,PHELPS MEMORIAL HEALTH CENTER,1215 TIBBALS,HOLDREGE,NE,68949-,PHELPS,25,"$26,001,393","$46,003,947",,"$6,983,764"
291300,MT. GRANT GENERAL HOSPITAL,1ST AND A STREETS,HAWTHORNE,NV,89415,MINERAL,11,"$8,224,062","$10,262,264",,"$327,897"
320057,SANTA FE INDIAN HOSPITAL,1700 CERILLIOS ROAD,SANTA FE,NM,87505,SANTA FE,4,$308,"$160,310","$11,691,892","-$32,561,315"
13301,USA CHILDRENS AND WOMENS HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,270,"$171,330,999","$55,564,014",,"$10,447,595"
61314,THE MEMORIAL HOSPITAL,750 HOSPITAL LOOP,CRAIG,CO,81625,MOFFAT,25,"$23,175,221","$48,935,527",,"$494,064"
62017,NORTHERN COLORADO LONG TERM ACUTE HO,4401A UNION STREET,JOHNSTON,CO,80534,LARIMER,20,"$16,267,280",$977,,"$1,611,194"
144029,THE PAVILION FOUNDATION,809 WEST CHURCH STREET,CHAMPAIGN,IL,61820-3999,CHAMPAIGN,69,"$40,976,351","$3,952,196",,"$8,951,533"
171362,CITIZENS MEDICAL CENTER,100 E. COLLEGE DRIVE,COLBY,KS,67701,THOMAS,21,"$16,133,789","$45,878,350",,"$1,232,093"
194085,COMPASS BEHAVIORAL CENTER  LLC,P.O. BOX 425,CROWLEY,LA,70527,,34,"$4,687,333","$15,262,016","$2,529,430","$1,459,082"
241336,KITTSON MEMORIAL HOSPITAL,1010 SOUTH BIRCH,HALLOCK,MN,56728-,KITTSON,15,"$7,904,045","$11,547,036",,"$203,727"
241342,ORTONVILLE AREA HEALTH SERVICES,450 EASTVOLD AVENUE,ORTONVILLE,MN,56278-,BIG STONE,25,"$11,382,106","$20,989,841",,"$794,613"
371316,STROUD REGIONAL MEDICAL CENTER,2308 HIGHWAY 66 WEST,STROUD,OK,74079,LINCOLN,25,"$10,257,995","$8,284,619",,"-$10,392,464"
451343,ELECTRA MEMORIAL HOSPITAL,1207 SOUTH BAILEY STREET,ELECTRA,TX,76360-,WICHITA,19,"$6,316,052","$16,448,112",,"$1,821,409"
451355,COLLINGSWORTH GENERAL HOSPITAL,1013 15TH STREET,WELLINGTON,TX,79095-,COLLINGSWORTH,15,"$1,565,082","$4,360,109",,"-$452,537"
452018,TX HLTH SPECIALTY HOSP FORT WORTH,1301 PENNSYLVANIA AVENUE,FORT WORTH,TX,76104,TARRANT,15,"$21,848,258",,"$3,477,170","$2,727,674"
452102,COVENANT SPECIALTY HOSPITAL,3815 20TH STREET,LUBBOCK,TX,79410,LUBBOCK,56,"$209,420,174","$45,472","$8,158,470","$2,138,550"
501992,SUNRISE HAVEN,24423 100TH AVE SE,KENT,WA,98030,KING,5,"$922,490",,"$839,651","$355,264"
53300,VALLEY CHILDRENS HOSPITAL,9300 VALLEY CHILDRENS PLACE,MADERA,CA,93636,MADERA,358,"$1,093,031,108","$548,453,221",,"$98,815,208"
171371,CLAY COUNTY MEDICAL CENTER,617 LIBERTY,CLAY CENTER,KS,67432-,CLAY,18,"$8,322,102","$31,654,127",,"$1,420,017"
181311,ST ELIZABETH - GRANT COUNTY,238 BARNES ROAD,WILLIAMSTOWN,KY,41097-9482,GRANT,15,"$3,091,096","$46,381,612",,"$4,918,306"
181323,OHIO COUNTY HOSPITAL,1211 MAIN STREET,HARTFORD,KY,42347-0126,OHIO,25,"$9,926,414","$66,879,083","$18,614,799","$356,905"
184015,CENTRAL STATE HOSPITAL,10510 LAGRANGE ROAD,LOUISVILLE,KY,40223-1228,JEFFERSON,112,"$23,326,258",,"$1,465,811","-$1,358,601"
251309,FIELD MEMORIAL COMMUNITY HOSPITAL,270 WEST MAIN STREET,CENTREVILLE,MS,39631-0639,WILKINSON,16,"$7,588,757","$24,038,893",,"-$1,167,607"
261320,LAFAYETTE REGIONAL HEALTH CENTER,15TH AND STATE STREETS,LEXINGTON,MO,64067,LAFAYETTE,25,"$25,162,813","$84,254,431","$11,871,527","-$2,167,301"
261332,CARROLL COUNTY HOSPITAL,1502 NORTH JEFFERSON,CARROLLTON,MO,64633-,CARROLL,25,"$4,529,342","$42,058,951",,"$162,255"
361301,COMMUNITY MEMORIAL HOSPITAL,208 N. COLUMBUS STREET,HICKSVILLE,OH,43526-,DEFIANCE,25,"$5,931,567","$23,405,753",,"$16,478"
361306,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,44074-,LORAIN,25,"$19,935,463","$65,042,055",,"$1,554,265"
361327,CHWC-MONTPELIER,909 SNYDER AVE.,MONTPELIER,OH,43543-1271,WILLIAMS,25,"$9,271,897","$10,017,909",,"$3,818,085"
361330,HOCKING VALLEY COMMUNITY HOSPITAL,601 STATE ROUTE 664,LOGAN,OH,43138-0966,HOCKING,25,"$20,268,146","$71,356,165",,"-$899,647"
361332,HIGHLAND DISTRICT HOSPITAL,1275 NORTH HIGH STREET,HILLSBORO,OH,45133-,HIGHLAND,25,"$22,057,114","$95,744,887",,"$2,505,122"
142006,KINDRED HOSPITAL SYCAMORE,225 EDWARD STREET,SYCAMORE,IL,60178,DEKALB,69,"$77,808,805","$242,498","$7,764,047","-$2,067,146"
171325,GRAHAM COUNTY HOSPITAL,304 PROUT,HILL CITY,KS,67642,GRAHAM,20,"$1,697,130","$5,577,482",,"$213,586"
263301,ST. LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,ST. LOUIS,MO,63110,ST. LOUIS,274,"$639,382,824","$499,104,023",,"$64,860,412"
171337,WAMEGO HOSPITAL ASSOCIATION,PAR,WAMEGO,KS,66547,POTTAWATOMIE,23,"$3,604,832","$20,543,037",,"$818,545"
281314,ANNIE JEFFREY MEM. CNTY HLTH. CTR.,531 BEEBE,OSCEOLA,NE,68651-0428,POLK,16,"$1,472,087","$5,873,296",,"$221,743"
